TotalSales,SalesByCategory,SalesByProduct,SalesByRegion,SalesByCity
2137.21,C-PVC (chlorinated PVC),Plumbing Product,Cortezfort,Davidchester
9962.97,PVC-O (molecular oriented PVC),Water Tanks,Michaelshire,Hillhaven
1732.82,PVC-U (unplasticised PVC),Cleaning Product,Port Carolville,West Kristen
2845.88,C-PVC (chlorinated PVC),Plumbing Product,Stephenstad,Michaelmouth
6108.25,C-PVC (chlorinated PVC),Industrial Product,Lewischester,South Mary
3755.87,PVC-O (molecular oriented PVC),Cleaning Product,North Andrewview,South Susan
4884.38,PVC-O (molecular oriented PVC),Plumbing Product,Smithhaven,New Angelview
4785.87,PVC-O (molecular oriented PVC),Agricultural Product,North Charlesbury,West Adam
5597.23,Modified PVC,Agricultural Product,North Emilymouth,New Rachel
7383.49,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Port Jeffery,Patrickbury
3002.39,PVC-O (molecular oriented PVC),Plumbing Product,South Juan,North Coreyberg
7006.96,Modified PVC,Agricultural Product,Melindaville,North Rebeccamouth
8509.77,PVC-O (molecular oriented PVC),Cleaning Product,Elliottburgh,Johnsonbury
4751.48,C-PVC (chlorinated PVC),Water Tanks,East Matthewstad,New Howardtown
6270.11,PVC-U (unplasticised PVC),Agricultural Product,Karenstad,North Jefferyland
4789.01,C-PVC (chlorinated PVC),SANITARY PRODUCT,New Michellehaven,Lake Christine
8272.44,PVC-U (unplasticised PVC),Agricultural Product,Lopezhaven,Garyhaven
7529.37,C-PVC (chlorinated PVC),Cleaning Product,South Robertview,South James
5211.53,PVC-O (molecular oriented PVC),Industrial Product,Martinberg,Lake Kelly
7074.25,Modified PVC,Industrial Product,Ashleyville,Smithshire
3946.37,C-PVC (chlorinated PVC),SANITARY PRODUCT,Mollyhaven,Smallmouth
8206.26,PVC-U (unplasticised PVC),Plumbing Product,New Rebecca,Port Zachary
5278.02,PVC-U (unplasticised PVC),Water Tanks,Danielside,New Toddburgh
9014.6,C-PVC (chlorinated PVC),Industrial Product,Port Sandra,Mathewsberg
6966.19,C-PVC (chlorinated PVC),Plumbing Product,Fosterbury,Lake Cheryl
5572.54,C-PVC (chlorinated PVC),Industrial Product,Candacechester,Kristenmouth
1455.86,Modified PVC,Cleaning Product,Kristifurt,Jasonville
7965.46,Modified PVC,Water Tanks,Kevinchester,Whitakerstad
5891.92,C-PVC (chlorinated PVC),Cleaning Product,East Travisborough,Smallborough
6061.15,PVC-O (molecular oriented PVC),Industrial Product,East Johnmouth,West Ryanton
1447.34,PVC-U (unplasticised PVC),Cleaning Product,East Brianborough,Michaelchester
8930.07,PVC-O (molecular oriented PVC),Plumbing Product,North Sarahville,Robinside
6938.37,PVC-U (unplasticised PVC),Agricultural Product,Shannonburgh,West Erin
1082.86,Modified PVC,Water Tanks,Port Darrellton,Griffinmouth
5478.94,C-PVC (chlorinated PVC),Plumbing Product,South Monica,Johnstonmouth
2944.49,PVC-O (molecular oriented PVC),Agricultural Product,Danielborough,North Brittanystad
4004.96,Modified PVC,Agricultural Product,Adamside,Mcmillanhaven
6128.34,PVC-O (molecular oriented PVC),Water Tanks,East Matthew,North Blakeland
7174.34,Modified PVC,Industrial Product,North Allisonborough,New Valerieberg
3470.47,PVC-U (unplasticised PVC),Water Tanks,North Amytown,Anthonymouth
3147.48,C-PVC (chlorinated PVC),Cleaning Product,South Carolyn,Barretttown
1673.14,Modified PVC,Agricultural Product,South Rickeyside,Fordside
6435.4,Modified PVC,Agricultural Product,South Jenniferfurt,Maldonadoland
5183.34,C-PVC (chlorinated PVC),Industrial Product,Kennethberg,Edwardtown
5797.15,C-PVC (chlorinated PVC),Water Tanks,North Hannah,Christianstad
7280.18,PVC-O (molecular oriented PVC),Plumbing Product,Marctown,Brownbury
5872.37,C-PVC (chlorinated PVC),Plumbing Product,Brownton,Richardsville
5710.62,C-PVC (chlorinated PVC),SANITARY PRODUCT,Sharonfurt,East Elizabeth
6159.82,C-PVC (chlorinated PVC),Industrial Product,Rodriguezstad,Hornton
9937.85,PVC-O (molecular oriented PVC),Cleaning Product,North Katie,Craigville
5634.38,PVC-O (molecular oriented PVC),Cleaning Product,North Sherry,New Tamaraland
6904.39,C-PVC (chlorinated PVC),Industrial Product,East Holly,West Carolineport
5630.92,Modified PVC,Agricultural Product,Lopezville,Schwartzland
4776.28,C-PVC (chlorinated PVC),Plumbing Product,North Nicholastown,Wallaceburgh
7014.08,PVC-U (unplasticised PVC),SANITARY PRODUCT,North Pammouth,Lake Jonathan
7550.18,Modified PVC,Industrial Product,Johnland,New Stuart
1351.79,PVC-O (molecular oriented PVC),Agricultural Product,Johnstad,Genemouth
3001.47,Modified PVC,SANITARY PRODUCT,South Heather,Richardburgh
9314.49,Modified PVC,Plumbing Product,Petersonstad,Stevenstad
6845.55,C-PVC (chlorinated PVC),Plumbing Product,Samuelville,Coxtown
9595.57,PVC-O (molecular oriented PVC),Water Tanks,Coxville,Kaylabury
3641.94,PVC-O (molecular oriented PVC),SANITARY PRODUCT,East William,East Matthewview
8847.24,C-PVC (chlorinated PVC),Water Tanks,South Tanya,New Rebecca
6950.2,Modified PVC,Agricultural Product,Port Wandaville,East Jeffrey
1932.42,PVC-U (unplasticised PVC),Plumbing Product,Tannerbury,Friedmanstad
2746.75,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Allisonberg,Marvinton
2900.57,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Port Michelle,Mejiaburgh
1124.06,PVC-O (molecular oriented PVC),Water Tanks,South Johnathanshire,Norrisstad
9576.77,PVC-O (molecular oriented PVC),Industrial Product,Port Scott,Erinhaven
2690.13,Modified PVC,Plumbing Product,Lake Tamarashire,Shawnton
7876.49,PVC-O (molecular oriented PVC),Cleaning Product,Payneview,Joneshaven
7845.89,Modified PVC,Cleaning Product,Andrewland,Andersonland
5983.95,PVC-U (unplasticised PVC),SANITARY PRODUCT,Donnafort,Bakermouth
8903.75,PVC-O (molecular oriented PVC),Cleaning Product,North Kimberly,South Kyle
8879.98,PVC-U (unplasticised PVC),Cleaning Product,Donnaport,Robertafort
8577.59,Modified PVC,Cleaning Product,East Jenniferfort,Shirleyport
8662.04,Modified PVC,SANITARY PRODUCT,East Sherry,Cowantown
1339.02,Modified PVC,SANITARY PRODUCT,Port Amandachester,East Miguelshire
1601.39,PVC-O (molecular oriented PVC),Cleaning Product,South Chelseahaven,West Jeffreyfort
8152.26,PVC-U (unplasticised PVC),Plumbing Product,Port Jamesshire,Holmesborough
1750.9,C-PVC (chlorinated PVC),Plumbing Product,Kathleenbury,Lake Margaret
2607.31,Modified PVC,SANITARY PRODUCT,Adamschester,South Alexis
3189.58,C-PVC (chlorinated PVC),Industrial Product,Lovechester,Williamstown
3375.47,C-PVC (chlorinated PVC),Agricultural Product,North Rachelmouth,New Kurt
6592.1,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Port Thomas,Dawsonside
2864.62,PVC-O (molecular oriented PVC),Industrial Product,Schneiderborough,North Geraldmouth
5951.09,PVC-U (unplasticised PVC),Water Tanks,Isaacmouth,Lake Hunter
9566.72,Modified PVC,Water Tanks,Lake Lisa,Port Katie
9622.32,PVC-O (molecular oriented PVC),Agricultural Product,Millerstad,Amyside
4398.49,PVC-U (unplasticised PVC),Agricultural Product,Pearsonside,Port Linda
9280.45,PVC-O (molecular oriented PVC),Plumbing Product,Port Larry,Lake Matthewshire
7528.27,PVC-U (unplasticised PVC),Agricultural Product,Shawnchester,Port Timothyport
8962.15,PVC-U (unplasticised PVC),Industrial Product,Laurenstad,Garrettland
4535.75,Modified PVC,Cleaning Product,New Derekside,Austinmouth
5963.12,C-PVC (chlorinated PVC),Industrial Product,North Brittney,North Erin
8178.03,C-PVC (chlorinated PVC),Agricultural Product,Henryville,Mcclainbury
5284.81,C-PVC (chlorinated PVC),Plumbing Product,Frankland,Lake Amber
7458.87,PVC-O (molecular oriented PVC),Water Tanks,Schmidtport,East Stephanieland
9544.49,PVC-O (molecular oriented PVC),Agricultural Product,Port Erin,Curtismouth
4770.84,PVC-U (unplasticised PVC),Water Tanks,Millerchester,Russellport
9700.79,PVC-O (molecular oriented PVC),Agricultural Product,Lake Sarahport,West Douglasside
3134.99,C-PVC (chlorinated PVC),Industrial Product,Glassshire,South Joestad
9450.03,PVC-U (unplasticised PVC),Plumbing Product,Nicholasberg,Johnnyland
9543.76,PVC-U (unplasticised PVC),Cleaning Product,New Kaylaberg,South Charlesberg
3106.42,Modified PVC,Agricultural Product,Mayomouth,North Laura
4435.94,Modified PVC,SANITARY PRODUCT,Judystad,North Taylorstad
2729.0,C-PVC (chlorinated PVC),Agricultural Product,Patriciamouth,Riverabury
8595.64,PVC-O (molecular oriented PVC),Industrial Product,Smithberg,East Luisland
7746.11,Modified PVC,Cleaning Product,Romerotown,New Jessicabury
2775.53,PVC-O (molecular oriented PVC),Water Tanks,North Carmen,Melodystad
6210.95,Modified PVC,Industrial Product,West Heather,West Tommyberg
8329.42,PVC-O (molecular oriented PVC),SANITARY PRODUCT,New Jonathanchester,Johnville
7977.37,PVC-O (molecular oriented PVC),Plumbing Product,Smithmouth,East Crystaltown
4809.77,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Alexbury,Matthewshire
2680.14,Modified PVC,Industrial Product,Williamsstad,New Robertstad
1466.28,PVC-O (molecular oriented PVC),Agricultural Product,New Jamiefort,Port Arthurberg
7470.44,PVC-U (unplasticised PVC),Plumbing Product,Melanieside,Salinasside
7176.17,PVC-O (molecular oriented PVC),Agricultural Product,Melissahaven,West Lisa
2096.32,Modified PVC,Water Tanks,Martinchester,Kellyfurt
1877.17,PVC-U (unplasticised PVC),SANITARY PRODUCT,Yatesfurt,Masonmouth
6062.61,PVC-U (unplasticised PVC),SANITARY PRODUCT,Port Travisbury,New Jacob
7691.8,Modified PVC,Industrial Product,Gutierrezmouth,Williamshire
7118.78,Modified PVC,Agricultural Product,Port Stevenburgh,Lake Ericburgh
2808.6,PVC-O (molecular oriented PVC),Water Tanks,Christophertown,Mathisville
8809.48,C-PVC (chlorinated PVC),Water Tanks,New James,Eddiestad
5215.34,PVC-U (unplasticised PVC),Water Tanks,East Elizabethmouth,Lake Lucasborough
2119.05,PVC-O (molecular oriented PVC),Cleaning Product,South Cindyside,Hartburgh
4532.83,C-PVC (chlorinated PVC),Water Tanks,Lake Cody,Ericmouth
3376.15,PVC-O (molecular oriented PVC),Plumbing Product,Jaymouth,East Juliatown
6574.08,PVC-O (molecular oriented PVC),Plumbing Product,Lake Timothybury,North Lawrence
9355.37,Modified PVC,SANITARY PRODUCT,Knappbury,Bryanfort
1103.86,Modified PVC,Water Tanks,East Leonard,Barkerhaven
9184.7,C-PVC (chlorinated PVC),Agricultural Product,Lake Linda,Harrellchester
2185.59,Modified PVC,SANITARY PRODUCT,Kevinside,West Theresa
8204.32,PVC-U (unplasticised PVC),Cleaning Product,Ryanside,Joeview
5871.79,C-PVC (chlorinated PVC),SANITARY PRODUCT,North Angela,North Timothyhaven
4504.19,Modified PVC,SANITARY PRODUCT,West Jerry,Dayhaven
4771.21,C-PVC (chlorinated PVC),Plumbing Product,Javierland,Michealville
2242.51,PVC-O (molecular oriented PVC),Plumbing Product,Esparzaton,Stevenport
2149.11,C-PVC (chlorinated PVC),Industrial Product,West Ryan,East Alexander
7844.57,PVC-U (unplasticised PVC),SANITARY PRODUCT,East Gregoryhaven,West Raymondmouth
9702.66,PVC-U (unplasticised PVC),Plumbing Product,West Dustinmouth,Johnberg
5740.97,PVC-U (unplasticised PVC),Industrial Product,South Courtneymouth,Jonesborough
3483.48,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Evansberg,Craigview
5934.88,PVC-U (unplasticised PVC),Plumbing Product,South Sylviamouth,East Elizabethbury
7273.37,PVC-O (molecular oriented PVC),Industrial Product,Port Richard,Lake Martin
3339.3,C-PVC (chlorinated PVC),Agricultural Product,South Michelleside,Lake John
6349.49,PVC-O (molecular oriented PVC),Agricultural Product,East Timothyview,South John
7884.38,Modified PVC,Agricultural Product,Port Keithchester,Baileyport
3479.85,PVC-O (molecular oriented PVC),Industrial Product,Jonesstad,Santiagofort
9152.86,PVC-U (unplasticised PVC),Cleaning Product,Nicholsonberg,Fisherfort
4279.27,C-PVC (chlorinated PVC),Agricultural Product,Port Megan,South Dana
2594.77,PVC-O (molecular oriented PVC),Plumbing Product,South Jeremy,North Jenna
1063.52,Modified PVC,SANITARY PRODUCT,Lawrencehaven,West Jamesmouth
9333.75,PVC-O (molecular oriented PVC),Cleaning Product,Katelynbury,New Cynthia
4927.3,Modified PVC,Industrial Product,Michellemouth,South Marcchester
